industry_name,resume_category
"Metalworking Machinery Manufacturing",
"Military and International Affairs",
"Mining",
"Motor Vehicle Manufacturing",
"Motor Vehicle Parts Manufacturing",
"Movies, Videos, and Sound",
"Museums",
"Museums, Historical Sites, and Zoos",
"Musicians",
"Nanotechnology Research",
"Natural Gas Distribution",
"Newspaper Publishing",
"Non-profit Organization Management",
"Non-profit Organizations",
"Nonresidential Building Construction",
"Nursing Homes and Residential Care Facilities",
"Office Administration",
"Office Furniture and Fixtures Manufacturing",
"Oil and Coal Product Manufacturing",
"Oil and Gas",
"Oil, Gas, and Mining",
"Online Audio and Video Media",
"Online Media",
"Online and Mail Order Retail",
"Operations Consulting",
"Outsourcing and Offshoring Consulting",
"Packaging & Containers",
"Packaging and Containers Manufacturing",
"Paint, Coating, and Adhesive Manufacturing",
"Paper & Forest Products",
"Paper and Forest Product Manufacturing",
"Pension Funds",
"Performing Arts",
"Performing Arts and Spectator Sports",
"Personal Care Product Manufacturing",
"Personal Care Services",
"Personal and Laundry Services",
"Pharmaceutical Manufacturing",
"Philanthropic Fundraising Services",
"Photography",
"Physical, Occupational and Speech Therapists",
"Pipeline Transportation",
"Plastics Manufacturing",
"Plastics and Rubber Product Manufacturing",
"Political Organizations",
"Primary Metal Manufacturing",
"Primary and Secondary Education",Teacher
"Printing Services",
"Professional Services",
"Professional Training and Coaching",
"Program Development",
"Public Assistance Programs",
"Public Health",
"Public Policy Offices",
"Public Relations and Communications Services",Public-Relations
"Public Safety",
"Rail Transportation",
"Railroad Equipment Manufacturing",
"Real Estate",
"Real Estate Agents and Brokers",
"Real Estate and Equipment Rental Services",
"Recreational Facilities",
"Religious Institutions",
"Renewable Energy Equipment Manufacturing",
"Renewable Energy Power Generation",
"Renewable Energy Semiconductor Manufacturing",
"Renewables & Environment",
"Repair and Maintenance",
"Research",
"Research Services",
"Residential Building Construction",
"Restaurants",Chef
"Retail",Sales
"Retail Apparel and Fashion",
"Retail Appliances, Electrical, and Electronic Equipment",
"Retail Art Supplies",
"Retail Books and Printed News",
"Retail Building Materials and Garden Equipment",
"Retail Florists",
"Retail Furniture and Home Furnishings",
"Retail Groceries",
"Retail Health and Personal Care Products",
"Retail Luxury Goods and Jewelry",
"Retail Motor Vehicles",
"Retail Musical Instruments",
"Retail Office Equipment",
"Retail Office Supplies and Gifts",
"Retail Pharmacies",
"Retail Recyclable Materials & Used Merchandise",
"Robot Manufacturing",
"Robotics Engineering",
"Rubber Products Manufacturing",
"School and Employee Bus Services",
"Seafood Product Manufacturing",
"Securities and Commodity Exchanges",
"Security Systems Services",
"Security and Investigations",
"Semiconductor Manufacturing",
"Semiconductors",
"Services for Renewable Energy",
"Shipbuilding",
"Soap and Cleaning Product Manufacturing",
"Social Networking Platforms",
"Software Development",Information-Technology
"Solar Electric Power Generation",
"Space Research and Technology",
"Specialty Trade Contractors",
"Spectator Sports",
"Sporting Goods Manufacturing",
"Sports Teams and Clubs",
"Sports and Recreation Instruction",
"Spring and Wire Product Manufacturing",
"Staffing and Recruiting",HR
"Strategic Management Services",
"Sugar and Confectionery Product Manufacturing",
"Surveying and Mapping Services",
"Technical and Vocational Training",
"Technology, Information and Internet",
"Technology, Information and Media",
"Telecommunications",
"Telephone Call Centers",
"Textile Manufacturing",
"Theater Companies",
"Think Tanks",
"Tobacco Manufacturing",
"Translation and Localization",
"Transportation Equipment Manufacturing",
"Transportation Programs",
"Transportation, Logistics, Supply Chain and Storage",
"Transportation/Trucking/Railroad",
"Travel Arrangements",
"Truck Transportation",
"Trusts and Estates",
"Turned Products and Fastener Manufacturing",
"Urban Transit Services",
"Utilities",
"Utilities Administration",
"Utility System Construction",
"Vehicle Repair and Maintenance",
"Venture Capital and Private Equity Principals",
"Veterinary",
"Veterinary Services",
"Warehousing",
"Warehousing and Storage",
"Waste Treatment and Disposal",
"Water, Waste, Steam, and Air Conditioning Services",
"Wellness and Fitness Services",Fitness
"Wholesale",
"Wholesale Alcoholic Beverages",
"Wholesale Apparel and Sewing Supplies",
"Wholesale Appliances, Electrical, and Electronics",
"Wholesale Building Materials",
"Wholesale Chemical and Allied Products",
"Wholesale Computer Equipment",
"Wholesale Drugs and Sundries",
"Wholesale Food and Beverage",
"Wholesale Footwear",
"Wholesale Furniture and Home Furnishings",
"Wholesale Hardware, Plumbing, Heating Equipment",
"Wholesale Import and Export",
"Wholesale Luxury Goods and Jewelry",
"Wholesale Machinery",
"Wholesale Metals and Minerals",
"Wholesale Motor Vehicles and Parts",
"Wholesale Paper Products",
"Wholesale Petroleum and Petroleum Products",
"Wholesale Photography Equipment and Supplies",
"Wholesale Raw Farm Products",
"Wholesale Recyclable Materials",
"Wind Electric Power Generation",
"Wine & Spirits",
"Wineries",
"Wireless Services",
"Wood Product Manufacturing",
"Writing and Editing",
"Zoos and Botanical Gardens",
